NO_OF_FRAMES	14124
NO_OF_CAMERAS	2
NO_OF_BODIES	1
FREQUENCY	20
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2018-05-13, 11:12:26	4529.38133216
DATA_INCLUDED	6D
BODY_NAMES	New Body #1
 X	 Y	 Z	 Roll	 Pitch	 Yaw	 Residual	 Rot[0]	 Rot[1]	 Rot[2]	 Rot[3]	 Rot[4]	 Rot[5]	 Rot[6]	 Rot[7]	 Rot[8]
74.15979	159.70230	-175.69772	-1.28591	-0.81263	-4.18020	2.34314	0.99724	-0.07256	0.01578	0.07289	0.99711	-0.02135	-0.01418	0.02244	0.99965	
73.97717	159.87086	-174.91098	-1.16842	-0.90598	-4.33808	2.27545	0.99701	-0.07530	0.01731	0.07563	0.99695	-0.01914	-0.01581	0.02039	0.99967	
73.22601	160.10678	-175.36142	-1.13701	-0.84241	-4.34666	2.25509	0.99702	-0.07548	0.01616	0.07578	0.99695	-0.01867	-0.01470	0.01984	0.99970	
72.88763	159.83389	-175.30316	-1.14194	-0.85603	-4.34955	1.16757	0.99701	-0.07553	0.01641	0.07583	0.99694	-0.01874	-0.01494	0.01993	0.99969	
72.75827	159.89996	-175.07236	-1.16593	-0.87367	-4.35543	1.59187	0.99700	-0.07562	0.01675	0.07593	0.99693	-0.01913	-0.01525	0.02035	0.99968	
71.90628	159.93091	-175.40472	-1.24464	-0.81176	-4.29649	1.84097	0.99709	-0.07459	0.01575	0.07491	0.99698	-0.02060	-0.01417	0.02172	0.99966	
71.78375	158.87202	-175.14444	-1.35949	-0.83618	-4.32307	2.15912	0.99705	-0.07501	0.01634	0.07537	0.99690	-0.02256	-0.01459	0.02372	0.99961	
71.70575	158.88040	-174.99466	-1.38137	-0.86573	-4.32943	2.34153	0.99703	-0.07511	0.01688	0.07548	0.99688	-0.02290	-0.01511	0.02410	0.99960	
70.59686	159.84668	-175.98953	-1.26081	-0.77374	-4.36324	2.24430	0.99701	-0.07576	0.01514	0.07607	0.99688	-0.02091	-0.01350	0.02200	0.99967	
70.40094	159.35876	-175.80746	-1.33820	-0.79007	-4.38789	2.31805	0.99697	-0.07617	0.01553	0.07650	0.99682	-0.02223	-0.01379	0.02335	0.99963	
69.96204	158.97475	-175.97040	-1.52910	-0.74633	-4.29968	2.25980	0.99710	-0.07460	0.01498	0.07497	0.99686	-0.02563	-0.01303	0.02668	0.99956	
69.92081	158.21835	-175.66449	-1.48145	-0.80483	-4.30786	2.26103	0.99708	-0.07473	0.01594	0.07511	0.99687	-0.02473	-0.01405	0.02585	0.99957	
69.22266	157.96944	-176.02774	-1.53787	-0.74346	-4.28838	2.18469	0.99712	-0.07440	0.01494	0.07477	0.99687	-0.02579	-0.01298	0.02684	0.99956	
68.99539	159.06738	-176.46024	-1.33841	-0.76223	-4.29178	2.10918	0.99711	-0.07451	0.01501	0.07483	0.99695	-0.02230	-0.01330	0.02336	0.99964	
68.32678	158.71722	-176.93811	-1.33353	-0.71777	-4.28087	2.24273	0.99713	-0.07433	0.01423	0.07464	0.99696	-0.02227	-0.01253	0.02327	0.99965	
68.41171	158.85753	-176.59277	-1.25440	-0.76767	-4.30169	2.17706	0.99709	-0.07470	0.01500	0.07500	0.99697	-0.02083	-0.01340	0.02189	0.99967	
67.82806	158.74547	-176.72830	-1.31053	-0.72441	-4.23258	2.18421	0.99719	-0.07350	0.01429	0.07380	0.99703	-0.02188	-0.01264	0.02287	0.99966	
68.18903	157.85838	-175.99689	-1.36741	-0.78926	-4.23133	2.25297	0.99718	-0.07343	0.01549	0.07378	0.99701	-0.02278	-0.01377	0.02386	0.99962	
68.00031	157.99130	-175.82224	-1.32804	-0.81952	-4.20149	2.27929	0.99721	-0.07291	0.01596	0.07326	0.99707	-0.02207	-0.01430	0.02317	0.99963	
67.38834	158.12445	-176.04694	-1.28362	-0.77549	-4.19901	2.19205	0.99722	-0.07290	0.01513	0.07321	0.99709	-0.02135	-0.01353	0.02240	0.99966	
67.81464	157.29416	-175.04135	-1.34281	-0.86292	-4.21012	2.32853	0.99719	-0.07304	0.01674	0.07341	0.99705	-0.02227	-0.01506	0.02343	0.99961	
67.45996	157.51207	-174.98859	-1.30552	-0.84217	-4.21035	2.31071	0.99719	-0.07307	0.01633	0.07341	0.99707	-0.02164	-0.01470	0.02278	0.99963	
67.38660	157.37541	-174.72531	-1.27171	-0.87398	-4.25861	2.24339	0.99712	-0.07390	0.01686	0.07425	0.99702	-0.02100	-0.01525	0.02219	0.99964	
67.04056	157.83655	-175.14313	-1.22798	-0.83611	-4.28496	2.29268	0.99710	-0.07439	0.01615	0.07471	0.99700	-0.02028	-0.01459	0.02143	0.99966	
66.79987	158.27234	-175.36310	-1.21968	-0.82576	-4.30212	2.29823	0.99708	-0.07469	0.01596	0.07501	0.99698	-0.02014	-0.01441	0.02128	0.99967	
66.78473	158.05794	-175.30786	-1.28269	-0.81123	-4.30373	2.30342	0.99708	-0.07471	0.01579	0.07504	0.99695	-0.02126	-0.01416	0.02238	0.99965	
66.82208	157.12805	-175.49411	-1.54451	-0.78314	-4.24597	2.31493	0.99716	-0.07364	0.01562	0.07403	0.99692	-0.02587	-0.01367	0.02695	0.99954	
66.78702	157.73779	-175.49374	-1.52693	-0.77884	-4.23443	2.18105	0.99718	-0.07345	0.01552	0.07383	0.99694	-0.02557	-0.01359	0.02664	0.99955	
66.95590	157.60037	-176.02966	-1.64214	-0.76570	-4.16781	2.32067	0.99727	-0.07227	0.01541	0.07267	0.99697	-0.02761	-0.01336	0.02865	0.99950	
66.79181	157.92728	-176.11938	-1.61397	-0.74280	-4.15657	2.18878	0.99729	-0.07209	0.01497	0.07248	0.99700	-0.02715	-0.01296	0.02816	0.99952	
66.78683	160.02530	-176.89954	-1.44757	-0.71620	-4.13735	2.20565	0.99732	-0.07181	0.01429	0.07214	0.99710	-0.02429	-0.01250	0.02526	0.99960	
67.02277	159.51787	-176.20413	-1.46886	-0.76462	-4.14630	2.24947	0.99729	-0.07194	0.01516	0.07230	0.99708	-0.02460	-0.01334	0.02563	0.99958	
66.68851	159.93808	-176.50351	-1.43364	-0.72017	-4.14278	2.22347	0.99731	-0.07191	0.01434	0.07224	0.99710	-0.02405	-0.01257	0.02502	0.99961	
67.18665	160.01276	-176.18744	-1.44843	-0.78346	-4.13427	2.26338	0.99730	-0.07173	0.01546	0.07209	0.99710	-0.02423	-0.01367	0.02527	0.99959	
67.41623	160.00259	-175.55560	-1.42043	-0.81052	-4.11714	2.34487	0.99732	-0.07142	0.01588	0.07179	0.99714	-0.02371	-0.01415	0.02479	0.99959	
67.63504	161.36035	-175.41928	-1.27197	-0.83122	-4.10973	2.27028	0.99732	-0.07133	0.01606	0.07166	0.99721	-0.02110	-0.01451	0.02220	0.99965	
68.17313	161.66324	-174.66534	-1.25416	-0.88862	-4.11272	2.28459	0.99730	-0.07136	0.01703	0.07171	0.99721	-0.02072	-0.01551	0.02188	0.99964	
67.98666	161.39822	-174.75854	-1.26128	-0.85791	-4.11364	2.35051	0.99731	-0.07139	0.01651	0.07173	0.99721	-0.02088	-0.01497	0.02201	0.99965	
68.17014	160.61145	-174.50266	-1.33979	-0.86691	-4.11457	2.34870	0.99731	-0.07138	0.01676	0.07174	0.99718	-0.02224	-0.01513	0.02338	0.99961	
68.52817	161.92548	-174.64090	-1.09432	-0.89947	-4.21562	2.26980	0.99717	-0.07320	0.01706	0.07350	0.99713	-0.01789	-0.01570	0.01910	0.99969	
68.18893	160.99036	-174.99899	-1.18258	-0.84617	-4.20153	2.33975	0.99720	-0.07295	0.01624	0.07326	0.99712	-0.01950	-0.01477	0.02064	0.99968	
68.31061	161.07938	-175.39807	-1.17916	-0.82454	-4.19434	2.28910	0.99722	-0.07283	0.01585	0.07313	0.99713	-0.01947	-0.01439	0.02058	0.99968	
68.87201	160.19235	-175.01929	-1.25423	-0.87304	-4.18842	2.36713	0.99721	-0.07269	0.01679	0.07303	0.99711	-0.02072	-0.01524	0.02189	0.99964	
69.38757	160.86325	-174.73068	-1.22102	-0.89097	-4.18297	2.30448	0.99722	-0.07259	0.01706	0.07293	0.99713	-0.02012	-0.01555	0.02131	0.99965	
68.95099	160.28302	-175.53323	-1.30385	-0.80231	-4.17915	2.23770	0.99724	-0.07254	0.01562	0.07287	0.99711	-0.02167	-0.01400	0.02275	0.99964	
68.77219	160.10709	-175.74918	-1.35232	-0.76192	-4.11532	2.33354	0.99733	-0.07143	0.01495	0.07176	0.99717	-0.02259	-0.01330	0.02360	0.99963	
69.57684	160.08627	-175.68344	-1.28192	-0.82312	-4.21911	2.33743	0.99719	-0.07323	0.01597	0.07356	0.99706	-0.02125	-0.01437	0.02237	0.99965	
69.25934	159.74344	-175.98865	-1.32917	-0.76871	-4.20724	2.19949	0.99722	-0.07303	0.01508	0.07336	0.99706	-0.02215	-0.01342	0.02319	0.99964	
69.34534	158.66348	-176.19943	-1.45627	-0.74022	-4.19214	2.22561	0.99724	-0.07275	0.01474	0.07310	0.99703	-0.02440	-0.01292	0.02541	0.99959	
69.69699	158.47665	-176.27600	-1.49880	-0.75691	-4.19943	2.29944	0.99723	-0.07286	0.01509	0.07322	0.99700	-0.02512	-0.01321	0.02615	0.99957	
69.81525	159.37755	-176.55438	-1.26453	-0.75043	-4.28558	2.15421	0.99712	-0.07442	0.01471	0.07472	0.99698	-0.02103	-0.01310	0.02207	0.99967	
