NO_OF_FRAMES	392
NO_OF_CAMERAS	2
NO_OF_BODIES	1
FREQUENCY	20
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2018-05-13, 11:12:26	4529.38133216
DATA_INCLUDED	6D
BODY_NAMES	New Body #1
 X	 Y	 Z	 Roll	 Pitch	 Yaw	 Residual	 Rot[0]	 Rot[1]	 Rot[2]	 Rot[3]	 Rot[4]	 Rot[5]	 Rot[6]	 Rot[7]	 Rot[8]
105.75699	140.80222	-176.06067	-1.57786	-0.71943	-0.85465	2.25129	0.99981	-0.01456	0.01296	0.01491	0.99951	-0.02735	-0.01256	0.02753	0.99954	
105.50415	140.37202	-177.01697	-1.56517	-0.68000	-1.00079	2.25590	0.99978	-0.01714	0.01234	0.01747	0.99948	-0.02710	-0.01187	0.02731	0.99956	
105.48349	141.55728	-177.34024	-1.50699	-0.66831	-0.98898	2.28212	0.99978	-0.01695	0.01211	0.01726	0.99951	-0.02609	-0.01166	0.02630	0.99959	
105.37350	141.10724	-177.42975	-1.51087	-0.67185	-0.99238	1.12304	0.99978	-0.01700	0.01218	0.01732	0.99951	-0.02616	-0.01173	0.02636	0.99958	
105.54181	142.09456	-177.25766	-1.52402	-0.69274	-0.98769	1.56706	0.99978	-0.01691	0.01254	0.01724	0.99950	-0.02638	-0.01209	0.02659	0.99957	
105.22684	142.35725	-177.01389	-1.54946	-0.67358	-0.98739	1.80600	0.99978	-0.01691	0.01222	0.01723	0.99949	-0.02683	-0.01176	0.02704	0.99957	
105.28876	142.53189	-176.55554	-1.61803	-0.69764	-0.98641	2.10735	0.99978	-0.01686	0.01266	0.01721	0.99946	-0.02802	-0.01218	0.02823	0.99953	
105.73141	143.52303	-175.51233	-1.61722	-0.75919	-0.99037	2.22363	0.99976	-0.01690	0.01373	0.01728	0.99946	-0.02799	-0.01325	0.02822	0.99951	
105.71851	142.96750	-175.00482	-1.88636	-0.75810	-0.80181	2.28346	0.99981	-0.01355	0.01368	0.01399	0.99937	-0.03273	-0.01323	0.03291	0.99937	
105.33838	143.15744	-175.20377	-1.88681	-0.73350	-0.78210	2.30591	0.99982	-0.01322	0.01324	0.01365	0.99937	-0.03275	-0.01280	0.03292	0.99938	
105.38208	144.24203	-175.09653	-1.83466	-0.74299	-0.74826	2.22093	0.99983	-0.01264	0.01338	0.01306	0.99941	-0.03184	-0.01297	0.03201	0.99940	
105.20410	144.48112	-175.34531	-1.82171	-0.72134	-0.73465	2.28975	0.99984	-0.01242	0.01299	0.01282	0.99942	-0.03163	-0.01259	0.03179	0.99942	
105.34207	144.58502	-175.19168	-1.76947	-0.73474	-0.72931	2.23135	0.99984	-0.01233	0.01321	0.01273	0.99945	-0.03071	-0.01282	0.03088	0.99944	
105.24295	144.51588	-175.58524	-1.77563	-0.70372	-0.70851	2.27851	0.99985	-0.01198	0.01266	0.01236	0.99945	-0.03083	-0.01228	0.03098	0.99944	
105.22903	145.47198	-176.31180	-1.53723	-0.69551	-0.77898	2.20997	0.99983	-0.01326	0.01250	0.01359	0.99955	-0.02666	-0.01214	0.02682	0.99957	
105.33939	144.77026	-176.57321	-1.51697	-0.69339	-0.78755	2.23879	0.99983	-0.01342	0.01246	0.01374	0.99956	-0.02630	-0.01210	0.02647	0.99958	
105.58075	144.47041	-176.91409	-1.46224	-0.69710	-0.86120	2.25419	0.99981	-0.01471	0.01254	0.01503	0.99957	-0.02533	-0.01217	0.02552	0.99960	
105.48071	143.94093	-177.41937	-1.48290	-0.66879	-0.85448	2.28681	0.99982	-0.01461	0.01205	0.01491	0.99956	-0.02570	-0.01167	0.02588	0.99960	
105.63483	143.58955	-177.36404	-1.46319	-0.68288	-0.85914	2.22713	0.99982	-0.01469	0.01230	0.01499	0.99957	-0.02535	-0.01192	0.02553	0.99960	
