ds,y
2007/10/11,1000
2007/10/12,988.8474483
2007/10/13,984.0235961
2007/10/14,984.0760198
2007/10/15,987.5522956
2007/10/16,993
2007/10/17,998.9667093
2007/10/18,1004
2007/10/19,1006.956806
2007/10/20,1007.931489
2007/10/21,1007.327769
2007/10/22,1005.549366
2007/10/23,1003
2007/10/24,1000.182983
2007/10/25,998
2007/10/26,997.1832046
2007/10/27,997.3882631
2007/10/28,998.0017194
2007/10/29,998.4101171
2007/10/30,998
2007/10/31,996.4991124
2007/11/1,995
2007/11/2,994.5867116
2007/11/3,994.944506
2007/11/4,995.4089446
2007/11/5,995.3155888
2007/11/6,994
2007/11/7,991.1671935
2007/11/8,988
2007/11/9,985.7508787
2007/11/10,984.4729866
2007/11/11,983.9196551
2007/11/12,983.8442158
2007/11/13,984
2007/11/14,984.2630186
2007/11/15,985
2007/11/16,986.5089629
2007/11/17,988.3223702
2007/11/18,989.7812961
2007/11/19,990.2268147
2007/11/20,989
2007/11/21,985.8302177
2007/11/22,982
2007/11/23,978.880801
2007/11/24,976.6465959
2007/11/25,975.1719904
2007/11/26,974.3315899
2007/11/27,974
2007/11/28,974.006617
2007/11/29,974
2007/11/30,973.6804135
2007/12/1,973.1357815
2007/12/2,972.5509428
2007/12/3,972.110736
2007/12/4,972
2007/12/5,972.3402866
2007/12/6,973
2007/12/7,973.8141049
2007/12/8,974.7369557
2007/12/9,975.752754
2007/12/10,976.8457015
2007/12/11,978
2007/12/12,979.1461691
2007/12/13,980
2007/12/14,980.3111387
2007/12/15,980.1793782
2007/12/16,979.7920484
2007/12/17,979.336479
2007/12/18,979
2007/12/19,978.9157371
2007/12/20,979
2007/12/21,979.1357931
2007/12/22,979.2897154
2007/12/23,979.4492644
2007/12/24,979.601938
2007/12/25,979.7352336
2007/12/26,979.836649
2007/12/27,979.8936817
2007/12/28,979.8938295
2007/12/29,979.82459
2007/12/30,979.6734608
2007/12/31,979.4279395
2008/1/1,979.0755239
2008/1/2,978.6037115
2008/1/3,978
2008/1/4,977.3033641
2008/1/5,976.7586864
2008/1/6,976.6623267
2008/1/7,977.3106446
2008/1/8,979
2008/1/9,981.6908448
2008/1/10,984
2008/1/11,984.6671599
2008/1/12,984.2671417
2008/1/13,983.8335435
2008/1/14,984.3999636
2008/1/15,987
2008/1/16,991.9878366
2008/1/17,997
2008/1/18,999.6822055
2008/1/19,1000.434579
2008/1/20,1000.34585
2008/1/21,1000.504748
2008/1/22,1002
2008/1/23,1005.376026
2008/1/24,1009
2008/1/25,1011.153673
2008/1/26,1011.954333
2008/1/27,1011.978158
2008/1/28,1011.801322
2008/1/29,1012
2008/1/30,1012.921793
2008/1/31,1014
2008/2/1,1014.608126
2008/2/2,1014.794789
2008/2/3,1014.777391
2008/2/4,1014.773328
2008/2/5,1015
2008/2/6,1015.547913
2008/2/7,1016
2008/2/8,1015.958025
2008/2/9,1015.606651
2008/2/10,1015.276264
2008/2/11,1015.297251
2008/2/12,1016
2008/2/13,1017.493356
2008/2/14,1019
2008/2/15,1019.746894
2008/2/16,1019.864279
2008/2/17,1019.708217
2008/2/18,1019.63477
2008/2/19,1020
2008/2/20,1020.976126
2008/2/21,1022
2008/2/22,1022.471104
2008/2/23,1022.374811
2008/2/24,1021.842966
2008/2/25,1021.007414
2008/2/26,1020
2008/2/27,1018.952948
2008/2/28,1018
2008/2/29,1017.224548
2008/3/1,1016.507071
2008/3/2,1015.67732
2008/3/3,1014.565046
2008/3/4,1013
2008/3/5,1010.958108
2008/3/6,1009
2008/3/7,1007.678844
2008/3/8,1006.933272
2008/3/9,1006.548277
2008/3/10,1006.308854
2008/3/11,1006
2008/3/12,1005.492462
2008/3/13,1005
2008/3/14,1004.764154
2008/3/15,1004.794565
2008/3/16,1005.042899
2008/3/17,1005.460822
2008/3/18,1006
2008/3/19,1006.581002
2008/3/20,1007
2008/3/21,1007.08253
2008/3/22,1006.895964
2008/3/23,1006.568132
2008/3/24,1006.226867
2008/3/25,1006
2008/3/26,1005.965264
2008/3/27,1006
2008/3/28,1005.962101
2008/3/29,1005.832062
2008/3/30,1005.621026
2008/3/31,1005.340137
2008/4/1,1005.000541
2008/4/2,1004.589709
2008/4/3,1004
2008/4/4,1003.165771
2008/4/5,1002.284898
2008/4/6,1001.621141
2008/4/7,1001.438255
2008/4/8,1002
2008/4/9,1003.393581
2008/4/10,1005
2008/4/11,1006.132664
2008/4/12,1006.540805
2008/4/13,1006.082615
2008/4/14,1004.616284
2008/4/15,1002
2008/4/16,998.3731624
2008/4/17,995
2008/4/18,993.0737127
2008/4/19,992.3785532
2008/4/20,992.3465374
2008/4/21,992.409681
2008/4/22,992
2008/4/23,990.7382317
2008/4/24,989
2008/4/25,987.2623384
2008/4/26,985.6530332
2008/4/27,984.2125588
2008/4/28,982.9813896
2008/4/29,982
2008/4/30,981.2840133
2008/5/1,980.749648
2008/5/2,980.2882714
2008/5/3,979.791251
2008/5/4,979.1499541
2008/5/5,978.2557479
2008/5/6,977
2008/5/7,975.4029091
2008/5/8,974
2008/5/9,973.2864238
2008/5/10,973.0805107
2008/5/11,973.0313857
2008/5/12,972.7881738
2008/5/13,972
2008/5/14,970.517831
2008/5/15,969
2008/5/16,968.0828257
2008/5/17,967.5072015
2008/5/18,966.7901644
2008/5/19,965.4487516
2008/5/20,963
2008/5/21,959.3548681
2008/5/22,956
2008/5/23,954.3647657
2008/5/24,954.0737545
2008/5/25,954.3003605
2008/5/26,954.2179776
2008/5/27,953
2008/5/28,950.338467
2008/5/29,948
2008/5/30,947.5967616
2008/5/31,948.0484992
2008/6/1,947.6018559
2008/6/2,944.5034751
2008/6/3,937
2008/6/4,924.6175315
2008/6/5,912
2008/6/6,903.8411538
2008/6/7,899.9161818
2008/6/8,898.7706328
2008/6/9,898.9500559
2008/6/10,899
2008/6/11,897.8543082
2008/6/12,896
2008/6/13,894.1705075
2008/6/14,892.5317367
2008/6/15,891.1077121
2008/6/16,889.9224584
2008/6/17,889
2008/6/18,888.3594156
2008/6/19,888
2008/6/20,887.8983208
2008/6/21,887.9598203
2008/6/22,888.0721594
2008/6/23,888.122999
2008/6/24,888
2008/6/25,887.6179321
2008/6/26,887
2008/6/27,886.1954502
2008/6/28,885.2492625
2008/6/29,884.2053496
2008/6/30,883.1076245
2008/7/1,882
2008/7/2,880.935051
2008/7/3,880
2008/7/4,879.2536983
2008/7/5,878.6068633
2008/7/6,877.9331792
2008/7/7,877.10633
2008/7/8,876
2008/7/9,874.557419
2008/7/10,873
2008/7/11,871.5653108
2008/7/12,870.2773544
2008/7/13,869.1067426
2008/7/14,868.0240872
2008/7/15,867
2008/7/16,866.0038457
2008/7/17,865
2008/7/18,863.9549924
2008/7/19,862.8489555
2008/7/20,861.6654222
2008/7/21,860.387926
2008/7/22,859
2008/7/23,857.5068035
2008/7/24,856
2008/7/25,854.5430631
2008/7/26,853.0002017
2008/7/27,851.1858088
2008/7/28,848.9142773
2008/7/29,846
2008/7/30,842.4447724
2008/7/31,839
2008/8/1,836.338161
2008/8/2,834.0664134
2008/8/3,831.5255853
2008/8/4,828.0565048
2008/8/5,823
2008/8/6,816.2618396
2008/8/7,810.0075553
2008/8/8,806.3413653
2008/8/9,804.851315
2008/8/10,804.4936041
2008/8/11,804.2244325
2008/8/12,803
2008/8/13,800.2127376
2008/8/14,797
2008/8/15,794.6023357
2008/8/16,792.9281428
2008/8/17,791.552782
2008/8/18,790.0516142
2008/8/19,788
2008/8/20,785.2799407
2008/8/21,783
2008/8/22,782.1935083
2008/8/23,782.366301
2008/8/24,782.6423395
2008/8/25,782.1455854
2008/8/26,780
2008/8/27,775.9222722
2008/8/28,772
2008/8/29,770.2692537
2008/8/30,770.1890843
2008/8/31,770.5742881
2008/9/1,770.2396613
2008/9/2,768
2008/9/3,763.2870056
2008/9/4,758
2008/9/5,754.1030281
2008/9/6,751.3514069
2008/9/7,748.9482718
2008/9/8,746.0967577
2008/9/9,742
2008/9/10,736.3757219
2008/9/11,731
2008/9/12,727.6513149
2008/9/13,726.0594114
2008/9/14,725.4418505
2008/9/15,725.0161931
2008/9/16,724
2008/9/17,721.9775509
2008/9/18,720
2008/9/19,719.1219302
2008/9/20,718.9447635
2008/9/21,718.7066317
2008/9/22,717.6456666
2008/9/23,715
2008/9/24,710.5193775
2008/9/25,706
2008/9/26,703.1769199
2008/9/27,701.4941397
2008/9/28,699.8228995
2008/9/29,697.0344396
2008/9/30,692
2008/10/1,684.3810531
2008/10/2,677
2008/10/3,672.6126317
2008/10/4,670.5473691
2008/10/5,669.2757907
2008/10/6,667.2694748
2008/10/7,663
2008/10/8,655.8692088
2008/10/9,649
2008/10/10,645.4500295
2008/10/11,644.2949243
2008/10/12,643.6148044
2008/10/13,641.4897896
2008/10/14,636
2008/10/15,626.3197334
2008/10/16,616
2008/10/17,608.6028606
2008/10/18,603.3578666
2008/10/19,598.4114424
2008/10/20,591.9100121
2008/10/21,582
2008/10/22,568.1353393
2008/10/23,555
2008/10/24,547.2257418
2008/10/25,544.0054483
2008/10/26,543.1722839
2008/10/27,542.559413
2008/10/28,540
2008/10/29,534.2804336
2008/10/30,528
2008/10/31,523.9309744
2008/11/1,521.7246915
2008/11/2,520.2522505
2008/11/3,518.384751
2008/11/4,514.9932922
2008/11/5,509.5599665
2008/11/6,504
2008/11/7,500.2619729
2008/11/8,498.0055383
2008/11/9,496.3181172
2008/11/10,494.2871307
2008/11/11,491
2008/11/12,486.0432724
2008/11/13,481
2008/11/14,477.4134673
2008/11/15,474.6713846
2008/11/16,471.6225681
2008/11/17,467.1158344
2008/11/18,460
2008/11/19,449.9568445
2008/11/20,440
2008/11/21,433.1509318
2008/11/22,429.1305838
2008/11/23,426.83477
2008/11/24,425.1593041
2008/11/25,423
2008/11/26,419.6510299
2008/11/27,416
2008/11/28,413.0670931
2008/11/29,410.8093653
2008/11/30,408.9180909
2008/12/1,407.0845443
2008/12/2,405
2008/12/3,402.5003553
2008/12/4,400
2008/12/5,397.9215228
2008/12/6,396.141816
2008/12/7,394.4013478
2008/12/8,392.4405864
2008/12/9,390
2008/12/10,386.9899036
2008/12/11,384
2008/12/12,381.6223378
2008/12/13,379.7789623
2008/12/14,378.2244179
2008/12/15,376.713249
2008/12/16,375
2008/12/17,372.9660353
2008/12/18,371
2008/12/19,369.5115188
2008/12/20,368.486855
2008/12/21,367.8064319
2008/12/22,367.3506725
2008/12/23,367
2008/12/24,366.6522712
2008/12/25,366.2750783
2008/12/26,365.8534471
2008/12/27,365.3724037
2008/12/28,364.816974
2008/12/29,364.1721839
2008/12/30,363.4230593
2008/12/31,362.5546261
2009/1/1,361.5519103
2009/1/2,360.3999379
2009/1/3,359.0837347
2009/1/4,357.5883267
2009/1/5,355.8987398
2009/1/6,354
2009/1/7,351.9377375
2009/1/8,350
2009/1/9,348.4763835
2009/1/10,347.4202596
2009/1/11,346.825944
2009/1/12,346.6877523
2009/1/13,347
2009/1/14,347.6378683
2009/1/15,348
2009/1/16,347.5462443
2009/1/17,346.4578134
2009/1/18,345.0962603
2009/1/19,343.8231382
2009/1/20,343
2009/1/21,342.8446628
2009/1/22,343
2009/1/23,343.0458959
2009/1/24,342.8852237
2009/1/25,342.5016035
2009/1/26,341.8786555
2009/1/27,341
2009/1/28,339.9230012
2009/1/29,339
2009/1/30,338.5402178
2009/1/31,338.3854223
2009/2/1,338.260518
2009/2/2,337.8904091
2009/2/3,337
2009/2/4,335.4944577
2009/2/5,334
2009/2/6,333.1317408
2009/2/7,332.7393288
2009/2/8,332.4810464
2009/2/9,332.015176
2009/2/10,331
2009/2/11,329.3494431
2009/2/12,328
2009/2/13,327.8038533
2009/2/14,328.2533687
2009/2/15,328.5009574
2009/2/16,327.6990307
2009/2/17,325
2009/2/18,320.1162426
2009/2/19,315
2009/2/20,311.6366097
2009/2/21,309.9039281
2009/2/22,309.1529418
2009/2/23,308.7346369
2009/2/24,308
2009/2/25,306.5518079
2009/2/26,305
2009/2/27,304.015528
2009/2/28,303.506231
2009/3/1,303.18917
2009/3/2,302.781406
2009/3/3,302
2009/3/4,300.6639497
2009/3/5,299
2009/3/6,297.2947075
2009/3/7,295.6661292
2009/3/8,294.1901972
2009/3/9,292.9428434
2009/3/10,292
2009/3/11,291.3962171
2009/3/12,291.0005172
2009/3/13,290.6476302
2009/3/14,290.2007694
2009/3/15,289.5303003
2009/3/16,288.5065886
2009/3/17,287
2009/3/18,285.0034433
2009/3/19,283
2009/3/20,281.4666839
2009/3/21,280.3660657
2009/3/22,279.5321057
2009/3/23,278.7987637
2009/3/24,278
2009/3/25,277.0270186
2009/3/26,276
2009/3/27,275.0702551
2009/3/28,274.28464
2009/3/29,273.6638975
2009/3/30,273.2287699
2009/3/31,273
2009/4/1,272.9677673
2009/4/2,273
2009/4/3,272.9545758
2009/4/4,272.7714229
2009/4/5,272.4109821
2009/4/6,271.8336942
2009/4/7,271
2009/4/8,269.9446958
2009/4/9,269
2009/4/10,268.4831608
2009/4/11,268.3541227
2009/4/12,268.4835042
2009/4/13,268.7419238
2009/4/14,269
2009/4/15,269.1286519
2009/4/16,269
2009/4/17,268.5342101
2009/4/18,267.8424263
2009/4/19,267.0835374
2009/4/20,266.4164324
2009/4/21,266
2009/4/22,265.9237905
2009/4/23,266
2009/4/24,266.0141473
2009/4/25,265.922396
2009/4/26,265.723571
2009/4/27,265.4164974
2009/4/28,265
2009/4/29,264.4936495
2009/4/30,264
2009/5/1,263.6180491
2009/5/2,263.3495864
2009/5/3,263.172099
2009/5/4,263.0630745
2009/5/5,263
2009/5/6,262.9701566
2009/5/7,263
2009/5/8,263.1072735
2009/5/9,263.2356966
2009/5/10,263.310483
2009/5/11,263.2568463
2009/5/12,263
2009/5/13,262.5179662
2009/5/14,262
2009/5/15,261.6374178
2009/5/16,261.4185468
2009/5/17,261.2809669
