ds,y
2001-05-21,2690.0
2001-05-22,2697.500000181608
2001-05-23,2705.000000363216
2001-05-24,2712.5000005448237
2001-05-25,2720.0000007264316
2001-05-26,2713.3333330322057
2001-05-27,2706.6666660644114
2001-05-28,2699.999999096617
2001-05-29,2693.333332128823
2001-05-30,2686.6666651610285
2001-05-31,2679.999998193234
2001-06-01,2676.666666516103
2001-06-02,2673.3333330322057
2001-06-03,2669.9999995483086
2001-06-04,2666.6666660644114
2001-06-05,2663.3333325805143
2001-06-06,2659.999999096617
2001-06-07,2656.249999909196
2001-06-08,2652.499999818392
2001-06-09,2648.749999727588
2001-06-10,2644.999999636784
2001-06-11,2641.2499995459802
2001-06-12,2637.4999994551763
2001-06-13,2633.7499993643723
2001-06-14,2629.9999992735684
2001-06-15,2612.500000623986
2001-06-16,2595.0000012479722
2001-06-17,2577.5000018719584
2001-06-18,2560.0000024959445
2001-06-19,2575.000000363216
2001-06-20,2590.0000007264316
2001-06-21,2570.0000003539026
2001-06-22,2550.000000707805
2001-06-23,2548.000000003958
2001-06-24,2546.0000000079162
2001-06-25,2544.0000000118744
2001-06-26,2542.0000000158325
2001-06-27,2540.0000000197906
2001-06-28,2541.999999996042
2001-06-29,2543.9999999920838
2001-06-30,2545.9999999881256
2001-07-01,2547.9999999841675
2001-07-02,2549.9999999802094
2001-07-03,2565.000000363216
2001-07-04,2580.0000007264316
2001-07-05,2595.0000010896474
2001-07-06,2610.000001452863
2001-07-07,2617.500000181608
2001-07-08,2625.000000363216
2001-07-09,2632.5000005448237
2001-07-10,2640.0000007264316
2001-07-11,2631.6666666045785
2001-07-12,2623.333333209157
2001-07-13,2614.9999998137355
2001-07-14,2606.666666418314
2001-07-15,2598.3333330228925
2001-07-16,2589.999999627471
2001-07-17,2590.0
2001-07-18,2590.0
2001-07-19,2590.0
2001-07-20,2590.0
2001-07-21,2587.500000044238
2001-07-22,2585.0000000884756
2001-07-23,2582.5000001327135
2001-07-24,2580.0000001769513
2001-07-25,2570.0000001769513
2001-07-26,2560.0000003539026
2001-07-27,2560.0
2001-07-28,2560.0
2001-07-29,2560.0
2001-07-30,2560.0
2001-07-31,2560.0
2001-08-01,2564.9999999115244
2001-08-02,2565.8333333709743
2001-08-03,2566.6666667419486
2001-08-04,2567.500000112923
2001-08-05,2568.333333483897
2001-08-06,2569.1666668548714
2001-08-07,2570.0000002258457
2001-08-08,2566.666666516103
2001-08-09,2563.3333330322057
2001-08-10,2559.9999995483086
2001-08-11,2556.666666516103
2001-08-12,2553.3333330322057
2001-08-13,2549.9999995483086
