ds,y
2001/5/21,3409.700941
2001/5/22,3409.579463
2001/5/23,3409.450333
2001/5/24,3409.313892
2001/5/25,3409.170481
2001/5/26,3409.02044
2001/5/27,3408.864108
2001/5/28,3408.701826
2001/5/29,3408.533934
2001/5/30,3408.360773
2001/5/31,3408.182681
2001/6/1,3408
2001/6/2,3407.813141
2001/6/3,3407.622801
2001/6/4,3407.429749
2001/6/5,3407.234752
2001/6/6,3407.03858
2001/6/7,3406.842001
2001/6/8,3406.645783
2001/6/9,3406.450696
2001/6/10,3406.257506
2001/6/11,3406.066984
2001/6/12,3405.879896
2001/6/13,3405.697013
2001/6/14,3405.519101
2001/6/15,3405.346931
2001/6/16,3405.181269
2001/6/17,3405.022885
2001/6/18,3404.872547
2001/6/19,3404.731024
2001/6/20,3404.599083
2001/6/21,3404.477494
2001/6/22,3404.367026
2001/6/23,3404.268445
2001/6/24,3404.182521
2001/6/25,3404.110023
2001/6/26,3404.051719
2001/6/27,3404.008377
2001/6/28,3403.980765
2001/6/29,3403.969653
2001/6/30,3403.975808
2001/7/1,3404
2001/7/2,3404.042698
2001/7/3,3404.103179
2001/7/4,3404.180421
2001/7/5,3404.273402
2001/7/6,3404.381101
2001/7/7,3404.502496
2001/7/8,3404.636565
2001/7/9,3404.782287
2001/7/10,3404.93864
2001/7/11,3405.104601
2001/7/12,3405.27915
2001/7/13,3405.461265
2001/7/14,3405.649923
2001/7/15,3405.844104
2001/7/16,3406.042784
2001/7/17,3406.244944
2001/7/18,3406.44956
2001/7/19,3406.655612
2001/7/20,3406.862077
2001/7/21,3407.067934
2001/7/22,3407.272161
2001/7/23,3407.473736
2001/7/24,3407.671638
2001/7/25,3407.864844
2001/7/26,3408.052334
2001/7/27,3408.233085
2001/7/28,3408.406076
2001/7/29,3408.570284
2001/7/30,3408.724689
2001/7/31,3408.868268
2001/8/1,3409
2001/8/2,3409.119144
2001/8/3,3409.226082
2001/8/4,3409.321478
2001/8/5,3409.405995
2001/8/6,3409.480297
2001/8/7,3409.545047
2001/8/8,3409.600909
2001/8/9,3409.648545
2001/8/10,3409.688621
2001/8/11,3409.721798
2001/8/12,3409.74874
2001/8/13,3409.770111
2001/8/14,3409.786575
2001/8/15,3409.798794
2001/8/16,3409.807432
2001/8/17,3409.813153
2001/8/18,3409.816619
2001/8/19,3409.818495
2001/8/20,3409.819444
2001/8/21,3409.820129
2001/8/22,3409.821214
2001/8/23,3409.823362
2001/8/24,3409.827236
2001/8/25,3409.8335
2001/8/26,3409.842818
2001/8/27,3409.855853
2001/8/28,3409.873268
2001/8/29,3409.895727
2001/8/30,3409.923893
2001/8/31,3409.958429
2001/9/1,3410
2001/9/2,3410.04909
2001/9/3,3410.105472
2001/9/4,3410.168742
2001/9/5,3410.238494
2001/9/6,3410.314322
2001/9/7,3410.395822
2001/9/8,3410.482589
2001/9/9,3410.574218
2001/9/10,3410.670303
2001/9/11,3410.770439
2001/9/12,3410.874221
2001/9/13,3410.981244
2001/9/14,3411.091103
2001/9/15,3411.203393
2001/9/16,3411.317708
2001/9/17,3411.433643
2001/9/18,3411.550794
2001/9/19,3411.668754
2001/9/20,3411.78712
2001/9/21,3411.905486
2001/9/22,3412.023446
2001/9/23,3412.140596
2001/9/24,3412.25653
2001/9/25,3412.370843
2001/9/26,3412.483131
2001/9/27,3412.592987
2001/9/28,3412.700008
2001/9/29,3412.803787
2001/9/30,3412.903919
2001/10/1,3413
2001/10/2,3413.091498
2001/10/3,3413.177377
2001/10/4,3413.256476
2001/10/5,3413.327631
2001/10/6,3413.389681
2001/10/7,3413.441464
2001/10/8,3413.481817
2001/10/9,3413.509579
2001/10/10,3413.523587
2001/10/11,3413.52268
2001/10/12,3413.505694
2001/10/13,3413.471469
2001/10/14,3413.418842
2001/10/15,3413.346651
2001/10/16,3413.253733
2001/10/17,3413.138927
2001/10/18,3413.001071
2001/10/19,3412.839002
2001/10/20,3412.651558
2001/10/21,3412.437577
2001/10/22,3412.195898
2001/10/23,3411.925358
2001/10/24,3411.624794
2001/10/25,3411.293045
2001/10/26,3410.928949
2001/10/27,3410.531344
2001/10/28,3410.099066
2001/10/29,3409.630956
2001/10/30,3409.125849
2001/10/31,3408.582584
2001/11/1,3408
2001/11/2,3407.377583
2001/11/3,3406.717415
2001/11/4,3406.022231
2001/11/5,3405.294762
2001/11/6,3404.53774
2001/11/7,3403.753898
2001/11/8,3402.945969
2001/11/9,3402.116685
2001/11/10,3401.268778
2001/11/11,3400.40498
2001/11/12,3399.528025
2001/11/13,3398.640644
2001/11/14,3397.74557
2001/11/15,3396.845536
2001/11/16,3395.943273
2001/11/17,3395.041515
2001/11/18,3394.142993
2001/11/19,3393.250441
2001/11/20,3392.36659
2001/11/21,3391.494173
2001/11/22,3390.635922
2001/11/23,3389.79457
2001/11/24,3388.972849
2001/11/25,3388.173492
2001/11/26,3387.39923
2001/11/27,3386.652798
2001/11/28,3385.936926
2001/11/29,3385.254347
2001/11/30,3384.607795
2001/12/1,3384
2001/12/2,3383.432981
2001/12/3,3382.905898
2001/12/4,3382.417193
2001/12/5,3381.965313
2001/12/6,3381.548701
2001/12/7,3381.165802
2001/12/8,3380.81506
2001/12/9,3380.49492
2001/12/10,3380.203826
2001/12/11,3379.940223
2001/12/12,3379.702554
2001/12/13,3379.489266
2001/12/14,3379.298801
2001/12/15,3379.129604
2001/12/16,3378.980121
2001/12/17,3378.848794
2001/12/18,3378.73407
2001/12/19,3378.634391
2001/12/20,3378.548204
2001/12/21,3378.473951
2001/12/22,3378.410078
2001/12/23,3378.355029
2001/12/24,3378.307248
2001/12/25,3378.26518
2001/12/26,3378.22727
2001/12/27,3378.191961
2001/12/28,3378.157699
2001/12/29,3378.122927
2001/12/30,3378.08609
2001/12/31,3378.045633
2002/1/1,3378
2002/1/2,3377.947886
2002/1/3,3377.888989
2002/1/4,3377.823259
2002/1/5,3377.750642
2002/1/6,3377.67109
2002/1/7,3377.584549
2002/1/8,3377.490969
2002/1/9,3377.390299
2002/1/10,3377.282487
2002/1/11,3377.167482
2002/1/12,3377.045233
2002/1/13,3376.915688
2002/1/14,3376.778797
2002/1/15,3376.634507
2002/1/16,3376.482768
2002/1/17,3376.323529
2002/1/18,3376.156738
2002/1/19,3375.982343
2002/1/20,3375.800294
2002/1/21,3375.61054
2002/1/22,3375.413028
2002/1/23,3375.207708
2002/1/24,3374.994529
2002/1/25,3374.773439
2002/1/26,3374.544387
2002/1/27,3374.307321
2002/1/28,3374.062191
2002/1/29,3373.808945
2002/1/30,3373.547532
2002/1/31,3373.277901
2002/2/1,3373
2002/2/2,3372.714067
2002/2/3,3372.421497
2002/2/4,3372.123972
2002/2/5,3371.823178
2002/2/6,3371.520796
2002/2/7,3371.21851
2002/2/8,3370.918005
2002/2/9,3370.620963
2002/2/10,3370.329068
2002/2/11,3370.044003
2002/2/12,3369.767452
2002/2/13,3369.501098
2002/2/14,3369.246626
2002/2/15,3369.005717
2002/2/16,3368.780057
2002/2/17,3368.571327
2002/2/18,3368.381213
2002/2/19,3368.211396
2002/2/20,3368.063561
2002/2/21,3367.939392
2002/2/22,3367.840571
2002/2/23,3367.768782
2002/2/24,3367.725709
2002/2/25,3367.713035
2002/2/26,3367.732444
2002/2/27,3367.785619
2002/2/28,3367.874243
2002/3/1,3368
2002/3/2,3368.163886
2002/3/3,3368.364142
2002/3/4,3368.598324
2002/3/5,3368.863985
2002/3/6,3369.158681
2002/3/7,3369.479965
2002/3/8,3369.825393
2002/3/9,3370.192517
2002/3/10,3370.578894
2002/3/11,3370.982076
2002/3/12,3371.399619
2002/3/13,3371.829078
2002/3/14,3372.268005
2002/3/15,3372.713957
2002/3/16,3373.164486
2002/3/17,3373.617149
2002/3/18,3374.069498
2002/3/19,3374.519089
2002/3/20,3374.963476
2002/3/21,3375.400213
2002/3/22,3375.826854
2002/3/23,3376.240955
2002/3/24,3376.64007
2002/3/25,3377.021752
2002/3/26,3377.383556
2002/3/27,3377.723038
2002/3/28,3378.03775
2002/3/29,3378.325248
2002/3/30,3378.583086
2002/3/31,3378.808819
2002/4/1,3379
2002/4/2,3379.154831
2002/4/3,3379.2741
2002/4/4,3379.359241
2002/4/5,3379.41169
2002/4/6,3379.43288
2002/4/7,3379.424247
2002/4/8,3379.387224
2002/4/9,3379.323248
2002/4/10,3379.233751
2002/4/11,3379.12017
2002/4/12,3378.983937
2002/4/13,3378.82649
2002/4/14,3378.64926
2002/4/15,3378.453685
2002/4/16,3378.241197
2002/4/17,3378.013232
2002/4/18,3377.771225
2002/4/19,3377.516609
2002/4/20,3377.25082
2002/4/21,3376.975292
2002/4/22,3376.69146
2002/4/23,3376.400758
2002/4/24,3376.104622
2002/4/25,3375.804485
2002/4/26,3375.501783
2002/4/27,3375.19795
2002/4/28,3374.89442
2002/4/29,3374.592629
2002/4/30,3374.294011
2002/5/1,3374
2002/5/2,3373.711897
2002/5/3,3373.430466
2002/5/4,3373.156335
2002/5/5,3372.890135
2002/5/6,3372.632495
2002/5/7,3372.384043
2002/5/8,3372.14541
2002/5/9,3371.917224
2002/5/10,3371.700115
2002/5/11,3371.494713
2002/5/12,3371.301646
2002/5/13,3371.121544
2002/5/14,3370.955037
2002/5/15,3370.802753
2002/5/16,3370.665322
2002/5/17,3370.543374
2002/5/18,3370.437538
2002/5/19,3370.348443
2002/5/20,3370.276718
2002/5/21,3370.222993
2002/5/22,3370.187897
2002/5/23,3370.17206
2002/5/24,3370.17611
2002/5/25,3370.200678
2002/5/26,3370.246392
2002/5/27,3370.313883
2002/5/28,3370.403778
2002/5/29,3370.516708
2002/5/30,3370.653302
2002/5/31,3370.81419
2002/6/1,3371
2002/6/2,3371.211018
2002/6/3,3371.446154
2002/6/4,3371.703975
2002/6/5,3371.983045
2002/6/6,3372.281932
2002/6/7,3372.599201
2002/6/8,3372.933418
2002/6/9,3373.283149
2002/6/10,3373.646961
2002/6/11,3374.023419
2002/6/12,3374.411089
2002/6/13,3374.808537
2002/6/14,3375.214331
2002/6/15,3375.627034
2002/6/16,3376.045214
2002/6/17,3376.467437
2002/6/18,3376.892268
2002/6/19,3377.318274
2002/6/20,3377.74402
2002/6/21,3378.168073
2002/6/22,3378.588999
2002/6/23,3379.005364
2002/6/24,3379.415733
2002/6/25,3379.818673
2002/6/26,3380.212751
2002/6/27,3380.596531
2002/6/28,3380.968579
2002/6/29,3381.327463
2002/6/30,3381.671748
2002/7/1,3382
2002/7/2,3382.311074
2002/7/3,3382.604979
2002/7/4,3382.882013
2002/7/5,3383.142475
2002/7/6,3383.386662
2002/7/7,3383.614873
2002/7/8,3383.827407
2002/7/9,3384.02456
2002/7/10,3384.206632
2002/7/11,3384.37392
2002/7/12,3384.526723
2002/7/13,3384.665338
2002/7/14,3384.790065
2002/7/15,3384.9012
2002/7/16,3384.999043
2002/7/17,3385.083891
2002/7/18,3385.156042
2002/7/19,3385.215796
2002/7/20,3385.263449
2002/7/21,3385.2993
2002/7/22,3385.323647
2002/7/23,3385.336788
2002/7/24,3385.339022
2002/7/25,3385.330647
2002/7/26,3385.31196
2002/7/27,3385.28326
2002/7/28,3385.244846
2002/7/29,3385.197014
2002/7/30,3385.140064
2002/7/31,3385.074293
2002/8/1,3385
2002/8/2,3384.917614
2002/8/3,3384.828088
2002/8/4,3384.732506
2002/8/5,3384.631953
2002/8/6,3384.527514
2002/8/7,3384.420271
2002/8/8,3384.311311
2002/8/9,3384.201716
2002/8/10,3384.092572
2002/8/11,3383.984962
2002/8/12,3383.879972
2002/8/13,3383.778685
2002/8/14,3383.682185
2002/8/15,3383.591557
2002/8/16,3383.507886
2002/8/17,3383.432255
2002/8/18,3383.365749
2002/8/19,3383.309453
2002/8/20,3383.26445
2002/8/21,3383.231824
2002/8/22,3383.212661
2002/8/23,3383.208045
2002/8/24,3383.219059
2002/8/25,3383.246788
2002/8/26,3383.292317
2002/8/27,3383.35673
2002/8/28,3383.44111
2002/8/29,3383.546543
2002/8/30,3383.674113
2002/8/31,3383.824904
2002/9/1,3384
2002/9/2,3384.200081
2002/9/3,3384.424206
2002/9/4,3384.671031
2002/9/5,3384.939209
2002/9/6,3385.227396
2002/9/7,3385.534247
2002/9/8,3385.858415
2002/9/9,3386.198556
2002/9/10,3386.553325
2002/9/11,3386.921377
2002/9/12,3387.301365
2002/9/13,3387.691946
2002/9/14,3388.091772
2002/9/15,3388.499501
2002/9/16,3388.913785
2002/9/17,3389.33328
2002/9/18,3389.75664
2002/9/19,3390.182521
2002/9/20,3390.609577
2002/9/21,3391.036463
2002/9/22,3391.461833
2002/9/23,3391.884342
2002/9/24,3392.302646
2002/9/25,3392.715398
2002/9/26,3393.121254
2002/9/27,3393.518867
2002/9/28,3393.906894
2002/9/29,3394.283989
2002/9/30,3394.648806
2002/10/1,3395
2002/10/2,3395.336569
2002/10/3,3395.658881
2002/10/4,3395.967646
2002/10/5,3396.263577
2002/10/6,3396.547383
2002/10/7,3396.819777
2002/10/8,3397.081468
2002/10/9,3397.333168
2002/10/10,3397.575588
2002/10/11,3397.809439
2002/10/12,3398.035431
2002/10/13,3398.254277
2002/10/14,3398.466686
2002/10/15,3398.67337
2002/10/16,3398.87504
2002/10/17,3399.072407
2002/10/18,3399.266182
2002/10/19,3399.457075
2002/10/20,3399.645798
2002/10/21,3399.833062
2002/10/22,3400.019578
2002/10/23,3400.206056
2002/10/24,3400.393208
2002/10/25,3400.581745
2002/10/26,3400.772378
2002/10/27,3400.965817
2002/10/28,3401.162775
2002/10/29,3401.36396
2002/10/30,3401.570086
2002/10/31,3401.781862
2002/11/1,3402
2002/11/2,3402.225061
2002/11/3,3402.457011
2002/11/4,3402.695665
2002/11/5,3402.940838
2002/11/6,3403.192347
2002/11/7,3403.450008
2002/11/8,3403.713634
2002/11/9,3403.983044
2002/11/10,3404.258052
2002/11/11,3404.538473
2002/11/12,3404.824125
2002/11/13,3405.114821
2002/11/14,3405.410379
2002/11/15,3405.710613
2002/11/16,3406.01534
2002/11/17,3406.324375
2002/11/18,3406.637533
2002/11/19,3406.954631
2002/11/20,3407.275485
2002/11/21,3407.599909
2002/11/22,3407.927719
2002/11/23,3408.258732
2002/11/24,3408.592763
2002/11/25,3408.929628
2002/11/26,3409.269141
2002/11/27,3409.61112
2002/11/28,3409.95538
2002/11/29,3410.301736
2002/11/30,3410.650004
2002/12/1,3411
2002/12/2,3411.351617
2002/12/3,3411.705055
2002/12/4,3412.060595
2002/12/5,3412.418514
2002/12/6,3412.779091
2002/12/7,3413.142605
2002/12/8,3413.509335
2002/12/9,3413.879559
2002/12/10,3414.253555
2002/12/11,3414.631603
2002/12/12,3415.013981
2002/12/13,3415.400968
2002/12/14,3415.792842
2002/12/15,3416.189882
2002/12/16,3416.592367
2002/12/17,3417.000576
2002/12/18,3417.414786
2002/12/19,3417.835277
2002/12/20,3418.262328
2002/12/21,3418.696217
2002/12/22,3419.137222
2002/12/23,3419.585623
2002/12/24,3420.041698
2002/12/25,3420.505725
2002/12/26,3420.977984
2002/12/27,3421.458753
2002/12/28,3421.94831
2002/12/29,3422.446935
2002/12/30,3422.954906
2002/12/31,3423.472501
2003/1/1,3424
2003/1/2,3424.53752
2003/1/3,3425.084537
2003/1/4,3425.640366
2003/1/5,3426.204322
2003/1/6,3426.77572
2003/1/7,3427.353874
2003/1/8,3427.938101
2003/1/9,3428.527714
2003/1/10,3429.122029
2003/1/11,3429.72036
2003/1/12,3430.322024
2003/1/13,3430.926334
2003/1/14,3431.532605
2003/1/15,3432.140153
2003/1/16,3432.748293
2003/1/17,3433.356339
2003/1/18,3433.963607
2003/1/19,3434.569411
2003/1/20,3435.173067
2003/1/21,3435.773889
2003/1/22,3436.371193
2003/1/23,3436.964293
2003/1/24,3437.552504
2003/1/25,3438.135142
2003/1/26,3438.711521
2003/1/27,3439.280956
2003/1/28,3439.842762
2003/1/29,3440.396255
2003/1/30,3440.940749
2003/1/31,3441.475559
2003/2/1,3442
2003/2/2,3442.513629
2003/2/3,3443.016969
2003/2/4,3443.510787
2003/2/5,3443.995846
2003/2/6,3444.472913
2003/2/7,3444.942754
2003/2/8,3445.406133
2003/2/9,3445.863815
2003/2/10,3446.316567
2003/2/11,3446.765154
2003/2/12,3447.210341
2003/2/13,3447.652893
2003/2/14,3448.093576
2003/2/15,3448.533156
2003/2/16,3448.972397
2003/2/17,3449.412065
2003/2/18,3449.852926
2003/2/19,3450.295744
2003/2/20,3450.741286
2003/2/21,3451.190316
2003/2/22,3451.643601
2003/2/23,3452.101905
2003/2/24,3452.565994
2003/2/25,3453.036633
2003/2/26,3453.514588
2003/2/27,3454.000624
2003/2/28,3454.495506
2003/3/1,3455
2003/3/2,3455.514718
2003/3/3,3456.039655
2003/3/4,3456.574654
2003/3/5,3457.119558
2003/3/6,3457.674209
2003/3/7,3458.238449
2003/3/8,3458.81212
2003/3/9,3459.395066
2003/3/10,3459.987128
2003/3/11,3460.588149
2003/3/12,3461.197972
2003/3/13,3461.816438
2003/3/14,3462.44339
2003/3/15,3463.078671
2003/3/16,3463.722123
2003/3/17,3464.373588
2003/3/18,3465.032909
2003/3/19,3465.699928
2003/3/20,3466.374487
2003/3/21,3467.05643
2003/3/22,3467.745598
2003/3/23,3468.441833
2003/3/24,3469.144979
2003/3/25,3469.854877
2003/3/26,3470.571371
2003/3/27,3471.294301
2003/3/28,3472.023512
2003/3/29,3472.758845
2003/3/30,3473.500142
2003/3/31,3474.247246
2003/4/1,3475
2003/4/2,3475.757933
2003/4/3,3476.519328
2003/4/4,3477.282154
2003/4/5,3478.04438
2003/4/6,3478.803976
2003/4/7,3479.558911
2003/4/8,3480.307156
2003/4/9,3481.046679
2003/4/10,3481.77545
2003/4/11,3482.491439
2003/4/12,3483.192615
2003/4/13,3483.876947
2003/4/14,3484.542406
2003/4/15,3485.186961
2003/4/16,3485.808581
2003/4/17,3486.405236
2003/4/18,3486.974895
2003/4/19,3487.515528
2003/4/20,3488.025104
2003/4/21,3488.501594
2003/4/22,3488.942966
2003/4/23,3489.34719
2003/4/24,3489.712236
2003/4/25,3490.036072
2003/4/26,3490.31667
2003/4/27,3490.551997
2003/4/28,3490.740024
2003/4/29,3490.878721
2003/4/30,3490.966056
2003/5/1,3491
2003/5/2,3490.979445
2003/5/3,3490.906977
2003/5/4,3490.786107
2003/5/5,3490.620344
2003/5/6,3490.413199
2003/5/7,3490.168179
2003/5/8,3489.888797
2003/5/9,3489.578561
2003/5/10,3489.24098
