ds,y
2001/5/21,-3.290322616
2001/5/22,-3.354838747
2001/5/23,-3.419354878
2001/5/24,-3.483871009
2001/5/25,-3.548387139
2001/5/26,-3.61290327
2001/5/27,-3.677419401
2001/5/28,-3.741935532
2001/5/29,-3.806451663
2001/5/30,-3.870967793
2001/5/31,-3.935483924
2001/6/1,-4.000000055
2001/6/2,-3.699999997
2001/6/3,-3.399999993
2001/6/4,-3.09999999
2001/6/5,-2.799999987
2001/6/6,-2.499999983
2001/6/7,-2.19999998
2001/6/8,-1.899999977
2001/6/9,-1.599999973
2001/6/10,-1.29999997
2001/6/11,-0.999999967
2001/6/12,-0.699999963
2001/6/13,-0.39999996
2001/6/14,-0.099999957
2001/6/15,0.200000047
2001/6/16,0.50000005
2001/6/17,0.800000053
2001/6/18,1.100000057
2001/6/19,1.40000006
2001/6/20,1.700000063
2001/6/21,2.000000067
2001/6/22,2.30000007
2001/6/23,2.600000073
2001/6/24,2.900000077
2001/6/25,3.20000008
2001/6/26,3.500000083
2001/6/27,3.800000087
2001/6/28,4.10000009
2001/6/29,4.400000093
2001/6/30,4.700000097
2001/7/1,5.0000001
2001/7/2,4.870967738
2001/7/3,4.741935477
2001/7/4,4.612903215
2001/7/5,4.483870954
2001/7/6,4.354838692
2001/7/7,4.22580643
2001/7/8,4.096774169
2001/7/9,3.967741907
2001/7/10,3.838709645
2001/7/11,3.709677384
2001/7/12,3.580645122
2001/7/13,3.451612861
2001/7/14,3.322580599
2001/7/15,3.193548337
2001/7/16,3.064516076
2001/7/17,2.935483814
2001/7/18,2.806451553
2001/7/19,2.677419291
2001/7/20,2.548387029
2001/7/21,2.419354768
2001/7/22,2.290322506
2001/7/23,2.161290245
2001/7/24,2.032257983
2001/7/25,1.903225721
2001/7/26,1.77419346
2001/7/27,1.645161198
2001/7/28,1.516128936
2001/7/29,1.387096675
2001/7/30,1.258064413
2001/7/31,1.129032152
2001/8/1,0.99999989
2001/8/2,1.064516131
2001/8/3,1.129032262
2001/8/4,1.193548392
2001/8/5,1.258064523
2001/8/6,1.322580654
2001/8/7,1.387096785
2001/8/8,1.451612916
2001/8/9,1.516129046
2001/8/10,1.580645177
2001/8/11,1.645161308
2001/8/12,1.709677439
2001/8/13,1.77419357
2001/8/14,1.8387097
2001/8/15,1.903225831
2001/8/16,1.967741962
2001/8/17,2.032258093
2001/8/18,2.096774224
2001/8/19,2.161290355
2001/8/20,2.225806485
2001/8/21,2.290322616
2001/8/22,2.354838747
2001/8/23,2.419354878
2001/8/24,2.483871009
2001/8/25,2.548387139
2001/8/26,2.61290327
2001/8/27,2.677419401
2001/8/28,2.741935532
2001/8/29,2.806451663
2001/8/30,2.870967793
2001/8/31,2.935483924
2001/9/1,3.000000055
2001/9/2,2.733333326
2001/9/3,2.466666652
2001/9/4,2.199999978
2001/9/5,1.933333304
2001/9/6,1.66666663
2001/9/7,1.399999956
2001/9/8,1.133333282
2001/9/9,0.866666608
2001/9/10,0.599999934
2001/9/11,0.33333326
2001/9/12,0.066666586
2001/9/13,-0.200000088
2001/9/14,-0.466666762
2001/9/15,-0.733333436
2001/9/16,-1.00000011
2001/9/17,-1.266666784
2001/9/18,-1.533333458
2001/9/19,-1.800000132
2001/9/20,-2.066666806
2001/9/21,-2.33333348
2001/9/22,-2.600000154
2001/9/23,-2.866666828
2001/9/24,-3.133333502
2001/9/25,-3.400000176
2001/9/26,-3.66666685
2001/9/27,-3.933333524
2001/9/28,-4.200000198
2001/9/29,-4.466666872
2001/9/30,-4.733333546
2001/10/1,-5.00000022
2001/10/2,-5.612903213
2001/10/3,-6.225806426
2001/10/4,-6.83870964
2001/10/5,-7.451612853
2001/10/6,-8.064516066
2001/10/7,-8.677419279
2001/10/8,-9.290322492
2001/10/9,-9.903225705
2001/10/10,-10.51612892
2001/10/11,-11.12903213
2001/10/12,-11.74193535
2001/10/13,-12.35483856
2001/10/14,-12.96774177
2001/10/15,-13.58064498
2001/10/16,-14.1935482
2001/10/17,-14.80645141
2001/10/18,-15.41935462
2001/10/19,-16.03225784
2001/10/20,-16.64516105
2001/10/21,-17.25806426
2001/10/22,-17.87096748
2001/10/23,-18.48387069
2001/10/24,-19.0967739
2001/10/25,-19.70967712
2001/10/26,-20.32258033
2001/10/27,-20.93548354
2001/10/28,-21.54838676
2001/10/29,-22.16128997
2001/10/30,-22.77419318
2001/10/31,-23.3870964
2001/11/1,-23.99999961
2001/11/2,-23.39999999
2001/11/3,-22.79999999
2001/11/4,-22.19999998
2001/11/5,-21.59999997
2001/11/6,-20.99999997
2001/11/7,-20.39999996
2001/11/8,-19.79999995
2001/11/9,-19.19999995
2001/11/10,-18.59999994
2001/11/11,-17.99999993
2001/11/12,-17.39999993
2001/11/13,-16.79999992
2001/11/14,-16.19999991
2001/11/15,-15.59999991
2001/11/16,-14.9999999
2001/11/17,-14.39999989
2001/11/18,-13.79999989
2001/11/19,-13.19999988
2001/11/20,-12.59999987
2001/11/21,-11.99999987
2001/11/22,-11.39999986
2001/11/23,-10.79999985
2001/11/24,-10.19999985
2001/11/25,-9.59999984
2001/11/26,-8.999999833
2001/11/27,-8.399999827
2001/11/28,-7.79999982
2001/11/29,-7.199999813
2001/11/30,-6.599999807
2001/12/1,-5.9999998
2001/12/2,-5.967741935
2001/12/3,-5.935483869
2001/12/4,-5.903225804
2001/12/5,-5.870967738
2001/12/6,-5.838709673
2001/12/7,-5.806451608
2001/12/8,-5.774193542
2001/12/9,-5.741935477
2001/12/10,-5.709677411
2001/12/11,-5.677419346
2001/12/12,-5.645161281
2001/12/13,-5.612903215
2001/12/14,-5.58064515
2001/12/15,-5.548387084
2001/12/16,-5.516129019
2001/12/17,-5.483870954
2001/12/18,-5.451612888
2001/12/19,-5.419354823
2001/12/20,-5.387096757
2001/12/21,-5.354838692
2001/12/22,-5.322580627
2001/12/23,-5.290322561
2001/12/24,-5.258064496
2001/12/25,-5.22580643
2001/12/26,-5.193548365
2001/12/27,-5.1612903
2001/12/28,-5.129032234
2001/12/29,-5.096774169
2001/12/30,-5.064516103
2001/12/31,-5.032258038
2002/1/1,-4.999999973
2002/1/2,-5
2002/1/3,-5
2002/1/4,-5
2002/1/5,-5
2002/1/6,-5
2002/1/7,-5
2002/1/8,-5
2002/1/9,-5
2002/1/10,-5
2002/1/11,-5
2002/1/12,-5
2002/1/13,-5
2002/1/14,-5
2002/1/15,-5
2002/1/16,-5
2002/1/17,-5
2002/1/18,-5
2002/1/19,-5
2002/1/20,-5
2002/1/21,-5
2002/1/22,-5
2002/1/23,-5
2002/1/24,-5
2002/1/25,-5
2002/1/26,-5
2002/1/27,-5
2002/1/28,-5
2002/1/29,-5
2002/1/30,-5
2002/1/31,-5
2002/2/1,-5
2002/2/2,-4.428571413
2002/2/3,-3.857142826
2002/2/4,-3.285714239
2002/2/5,-2.714285651
2002/2/6,-2.142857064
2002/2/7,-1.571428477
2002/2/8,-0.99999989
2002/2/9,-0.428571303
2002/2/10,0.142857284
2002/2/11,0.714285871
2002/2/12,1.285714458
2002/2/13,1.857143046
2002/2/14,2.428571633
2002/2/15,3.00000022
2002/2/16,3.571428807
2002/2/17,4.142857394
2002/2/18,4.714285981
2002/2/19,5.285714568
2002/2/20,5.857143156
2002/2/21,6.428571743
2002/2/22,7.00000033
2002/2/23,7.571428917
2002/2/24,8.142857504
2002/2/25,8.714286091
2002/2/26,9.285714678
2002/2/27,9.857143266
2002/2/28,10.42857185
2002/3/1,11.00000044
2002/3/2,10.48387095
2002/3/3,9.967741907
2002/3/4,9.451612861
2002/3/5,8.935483814
2002/3/6,8.419354768
2002/3/7,7.903225721
2002/3/8,7.387096675
2002/3/9,6.870967628
2002/3/10,6.354838582
2002/3/11,5.838709536
2002/3/12,5.322580489
2002/3/13,4.806451443
2002/3/14,4.290322396
2002/3/15,3.77419335
2002/3/16,3.258064303
2002/3/17,2.741935257
2002/3/18,2.22580621
2002/3/19,1.709677164
2002/3/20,1.193548118
2002/3/21,0.677419071
2002/3/22,0.161290025
2002/3/23,-0.354839022
2002/3/24,-0.870968068
2002/3/25,-1.387097115
2002/3/26,-1.903226161
2002/3/27,-2.419355208
2002/3/28,-2.935484254
2002/3/29,-3.4516133
2002/3/30,-3.967742347
2002/3/31,-4.483871393
2002/4/1,-5.00000044
2002/4/2,-4.933333332
2002/4/3,-4.866666663
2002/4/4,-4.799999995
2002/4/5,-4.733333326
2002/4/6,-4.666666658
2002/4/7,-4.599999989
2002/4/8,-4.533333321
2002/4/9,-4.466666652
2002/4/10,-4.399999984
2002/4/11,-4.333333315
2002/4/12,-4.266666647
2002/4/13,-4.199999978
2002/4/14,-4.13333331
2002/4/15,-4.066666641
2002/4/16,-3.999999973
2002/4/17,-3.933333304
2002/4/18,-3.866666636
2002/4/19,-3.799999967
2002/4/20,-3.733333299
2002/4/21,-3.66666663
2002/4/22,-3.599999962
2002/4/23,-3.533333293
2002/4/24,-3.466666625
2002/4/25,-3.399999956
2002/4/26,-3.333333288
2002/4/27,-3.266666619
2002/4/28,-3.199999951
2002/4/29,-3.133333282
2002/4/30,-3.066666614
2002/5/1,-2.999999945
2002/5/2,-2.548387104
2002/5/3,-2.096774208
2002/5/4,-1.645161312
2002/5/5,-1.193548416
2002/5/6,-0.74193552
2002/5/7,-0.290322624
2002/5/8,0.161290272
2002/5/9,0.612903168
2002/5/10,1.064516064
2002/5/11,1.51612896
2002/5/12,1.967741856
2002/5/13,2.419354752
2002/5/14,2.870967648
2002/5/15,3.322580544
2002/5/16,3.77419344
2002/5/17,4.225806336
2002/5/18,4.677419232
2002/5/19,5.129032128
2002/5/20,5.580645024
2002/5/21,6.03225792
2002/5/22,6.483870816
2002/5/23,6.935483712
2002/5/24,7.387096608
2002/5/25,7.838709504
2002/5/26,8.2903224
2002/5/27,8.741935296
2002/5/28,9.193548192
2002/5/29,9.645161088
2002/5/30,10.09677398
2002/5/31,10.54838688
2002/6/1,10.99999978
2002/6/2,10.73333333
2002/6/3,10.46666665
2002/6/4,10.19999998
2002/6/5,9.933333304
2002/6/6,9.66666663
2002/6/7,9.399999956
2002/6/8,9.133333282
2002/6/9,8.866666608
2002/6/10,8.599999934
2002/6/11,8.33333326
2002/6/12,8.066666586
2002/6/13,7.799999912
2002/6/14,7.533333238
2002/6/15,7.266666564
2002/6/16,6.99999989
2002/6/17,6.733333216
2002/6/18,6.466666542
2002/6/19,6.199999868
2002/6/20,5.933333194
2002/6/21,5.66666652
2002/6/22,5.399999846
2002/6/23,5.133333172
2002/6/24,4.866666498
2002/6/25,4.599999824
2002/6/26,4.33333315
2002/6/27,4.066666476
2002/6/28,3.799999802
2002/6/29,3.533333128
2002/6/30,3.266666454
2002/7/1,2.99999978
2002/7/2,2.870967738
2002/7/3,2.741935477
2002/7/4,2.612903215
2002/7/5,2.483870954
2002/7/6,2.354838692
2002/7/7,2.22580643
2002/7/8,2.096774169
2002/7/9,1.967741907
2002/7/10,1.838709645
2002/7/11,1.709677384
2002/7/12,1.580645122
2002/7/13,1.451612861
2002/7/14,1.322580599
2002/7/15,1.193548337
2002/7/16,1.064516076
2002/7/17,0.935483814
2002/7/18,0.806451553
2002/7/19,0.677419291
2002/7/20,0.548387029
2002/7/21,0.419354768
2002/7/22,0.290322506
2002/7/23,0.161290245
2002/7/24,0.032257983
2002/7/25,-0.096774279
2002/7/26,-0.22580654
2002/7/27,-0.354838802
2002/7/28,-0.483871064
2002/7/29,-0.612903325
2002/7/30,-0.741935587
2002/7/31,-0.870967848
2002/8/1,-1.00000011
2002/8/2,-0.612903215
2002/8/3,-0.22580643
2002/8/4,0.161290355
2002/8/5,0.548387139
2002/8/6,0.935483924
2002/8/7,1.322580709
2002/8/8,1.709677494
2002/8/9,2.096774279
2002/8/10,2.483871064
2002/8/11,2.870967848
2002/8/12,3.258064633
2002/8/13,3.645161418
2002/8/14,4.032258203
2002/8/15,4.419354988
2002/8/16,4.806451773
2002/8/17,5.193548557
2002/8/18,5.580645342
2002/8/19,5.967742127
2002/8/20,6.354838912
2002/8/21,6.741935697
2002/8/22,7.129032482
2002/8/23,7.516129266
2002/8/24,7.903226051
2002/8/25,8.290322836
2002/8/26,8.677419621
2002/8/27,9.064516406
2002/8/28,9.451613191
2002/8/29,9.838709975
2002/8/30,10.22580676
2002/8/31,10.61290355
2002/9/1,11.00000033
2002/9/2,10.86666666
2002/9/3,10.73333333
2002/9/4,10.59999999
2002/9/5,10.46666665
2002/9/6,10.33333332
2002/9/7,10.19999998
2002/9/8,10.06666664
2002/9/9,9.933333304
2002/9/10,9.799999967
2002/9/11,9.66666663
2002/9/12,9.533333293
2002/9/13,9.399999956
2002/9/14,9.266666619
2002/9/15,9.133333282
