ds,y
2001/5/21,295.7816063
2001/5/22,295.7566927
2001/5/23,295.7301604
2001/5/24,295.7020484
2001/5/25,295.6723957
2001/5/26,295.6412412
2001/5/27,295.6086239
2001/5/28,295.5745826
2001/5/29,295.5391564
2001/5/30,295.5023841
2001/5/31,295.4643048
2001/6/1,295.4249573
2001/6/2,295.3843999
2001/6/3,295.3427687
2001/6/4,295.3002187
2001/6/5,295.2569054
2001/6/6,295.2129839
2001/6/7,295.1686097
2001/6/8,295.1239378
2001/6/9,295.0791237
2001/6/10,295.0343225
2001/6/11,294.9896896
2001/6/12,294.9453803
2001/6/13,294.9015497
2001/6/14,294.8583533
2001/6/15,294.8159462
2001/6/16,294.7744837
2001/6/17,294.7341212
2001/6/18,294.6950138
2001/6/19,294.6573169
2001/6/20,294.6211858
2001/6/21,294.5867756
2001/6/22,294.5542418
2001/6/23,294.5237395
2001/6/24,294.495424
2001/6/25,294.4694507
2001/6/26,294.4459747
2001/6/27,294.4251515
2001/6/28,294.4071361
2001/6/29,294.392084
2001/6/30,294.3801504
2001/7/1,294.3714905
2001/7/2,294.3662048
2001/7/3,294.3641743
2001/7/4,294.3652251
2001/7/5,294.3691834
2001/7/6,294.3758753
2001/7/7,294.385127
2001/7/8,294.3967646
2001/7/9,294.4106143
2001/7/10,294.4265022
2001/7/11,294.4442544
2001/7/12,294.4636971
2001/7/13,294.4846565
2001/7/14,294.5069586
2001/7/15,294.5304297
2001/7/16,294.5548958
2001/7/17,294.5801832
2001/7/18,294.6061179
2001/7/19,294.6325262
2001/7/20,294.6592341
2001/7/21,294.6860678
2001/7/22,294.7128535
2001/7/23,294.7394172
2001/7/24,294.7655852
2001/7/25,294.7911836
2001/7/26,294.8160385
2001/7/27,294.8399761
2001/7/28,294.8628225
2001/7/29,294.8844039
2001/7/30,294.9045464
2001/7/31,294.9230762
2001/8/1,294.9398193
2001/8/2,294.9546475
2001/8/3,294.9676142
2001/8/4,294.9788185
2001/8/5,294.9883593
2001/8/6,294.9963356
2001/8/7,295.0028464
2001/8/8,295.0079907
2001/8/9,295.0118675
2001/8/10,295.0145757
2001/8/11,295.0162145
2001/8/12,295.0168827
2001/8/13,295.0166794
2001/8/14,295.0157035
2001/8/15,295.0140541
