ds,y
2001/5/21,-0.840645126
2001/5/22,-0.859677382
2001/5/23,-0.878709638
2001/5/24,-0.897741894
2001/5/25,-0.91677415
2001/5/26,-0.935806406
2001/5/27,-0.954838661
2001/5/28,-0.973870917
2001/5/29,-0.992903173
2001/5/30,-1.011935429
2001/5/31,-1.030967685
2001/6/1,-1.049999941
2001/6/2,-0.995999954
2001/6/3,-0.941999955
2001/6/4,-0.887999956
2001/6/5,-0.833999958
2001/6/6,-0.779999959
2001/6/7,-0.725999961
2001/6/8,-0.671999962
2001/6/9,-0.617999963
2001/6/10,-0.563999965
2001/6/11,-0.509999966
2001/6/12,-0.455999967
2001/6/13,-0.401999969
2001/6/14,-0.34799997
2001/6/15,-0.293999971
2001/6/16,-0.239999973
2001/6/17,-0.185999974
2001/6/18,-0.131999976
2001/6/19,-0.077999977
2001/6/20,-0.023999978
2001/6/21,0.03000002
2001/6/22,0.084000019
2001/6/23,0.138000018
2001/6/24,0.192000016
2001/6/25,0.246000015
2001/6/26,0.300000014
2001/6/27,0.354000012
2001/6/28,0.408000011
2001/6/29,0.462000009
2001/6/30,0.516000008
2001/7/1,0.570000007
2001/7/2,0.55290322
2001/7/3,0.535806447
2001/7/4,0.518709674
2001/7/5,0.501612901
2001/7/6,0.484516128
2001/7/7,0.467419355
2001/7/8,0.450322582
2001/7/9,0.433225809
2001/7/10,0.416129036
2001/7/11,0.399032263
2001/7/12,0.38193549
2001/7/13,0.364838718
2001/7/14,0.347741945
2001/7/15,0.330645172
2001/7/16,0.313548399
2001/7/17,0.296451626
2001/7/18,0.279354853
2001/7/19,0.26225808
2001/7/20,0.245161307
2001/7/21,0.228064534
2001/7/22,0.210967761
2001/7/23,0.193870988
2001/7/24,0.176774215
2001/7/25,0.159677442
2001/7/26,0.142580669
2001/7/27,0.125483896
2001/7/28,0.108387123
2001/7/29,0.09129035
2001/7/30,0.074193577
2001/7/31,0.057096805
2001/8/1,0.040000032
2001/8/2,0.042903225
2001/8/3,0.04580645
2001/8/4,0.048709676
2001/8/5,0.051612902
2001/8/6,0.054516127
2001/8/7,0.057419353
2001/8/8,0.060322579
2001/8/9,0.063225804
2001/8/10,0.06612903
2001/8/11,0.069032256
2001/8/12,0.071935481
2001/8/13,0.074838707
2001/8/14,0.077741932
2001/8/15,0.080645158
2001/8/16,0.083548384
2001/8/17,0.086451609
2001/8/18,0.089354835
2001/8/19,0.092258061
2001/8/20,0.095161286
2001/8/21,0.098064512
2001/8/22,0.100967738
2001/8/23,0.103870963
2001/8/24,0.106774189
2001/8/25,0.109677414
2001/8/26,0.11258064
2001/8/27,0.115483866
2001/8/28,0.118387091
2001/8/29,0.121290317
2001/8/30,0.124193543
2001/8/31,0.127096768
2001/9/1,0.129999994
2001/9/2,0.073999999
2001/9/3,0.018000003
2001/9/4,-0.037999993
2001/9/5,-0.093999989
2001/9/6,-0.149999985
2001/9/7,-0.205999981
2001/9/8,-0.261999977
2001/9/9,-0.317999973
2001/9/10,-0.373999969
2001/9/11,-0.429999965
2001/9/12,-0.485999961
2001/9/13,-0.541999957
2001/9/14,-0.597999953
2001/9/15,-0.653999949
2001/9/16,-0.709999945
2001/9/17,-0.765999941
2001/9/18,-0.821999937
2001/9/19,-0.877999933
2001/9/20,-0.93399993
2001/9/21,-0.989999926
2001/9/22,-1.045999922
2001/9/23,-1.101999918
2001/9/24,-1.157999914
2001/9/25,-1.21399991
2001/9/26,-1.269999906
2001/9/27,-1.325999902
2001/9/28,-1.381999898
2001/9/29,-1.437999894
2001/9/30,-1.49399989
2001/10/1,-1.549999886
2001/10/2,-1.616451561
2001/10/3,-1.68290317
2001/10/4,-1.749354779
2001/10/5,-1.815806388
2001/10/6,-1.882257996
2001/10/7,-1.948709605
2001/10/8,-2.015161214
2001/10/9,-2.081612823
2001/10/10,-2.148064432
2001/10/11,-2.214516041
2001/10/12,-2.28096765
2001/10/13,-2.347419258
2001/10/14,-2.413870867
2001/10/15,-2.480322476
2001/10/16,-2.546774085
2001/10/17,-2.613225694
2001/10/18,-2.679677303
2001/10/19,-2.746128911
2001/10/20,-2.81258052
2001/10/21,-2.879032129
2001/10/22,-2.945483738
2001/10/23,-3.011935347
2001/10/24,-3.078386956
2001/10/25,-3.144838564
2001/10/26,-3.211290173
2001/10/27,-3.277741782
2001/10/28,-3.344193391
2001/10/29,-3.410645
2001/10/30,-3.477096609
2001/10/31,-3.543548217
2001/11/1,-3.609999826
2001/11/2,-3.535333237
2001/11/3,-3.460666579
2001/11/4,-3.385999921
2001/11/5,-3.311333263
2001/11/6,-3.236666605
2001/11/7,-3.161999946
2001/11/8,-3.087333288
2001/11/9,-3.01266663
2001/11/10,-2.937999972
2001/11/11,-2.863333314
2001/11/12,-2.788666656
2001/11/13,-2.713999998
2001/11/14,-2.63933334
2001/11/15,-2.564666682
2001/11/16,-2.490000023
2001/11/17,-2.415333365
2001/11/18,-2.340666707
2001/11/19,-2.266000049
2001/11/20,-2.191333391
2001/11/21,-2.116666733
2001/11/22,-2.042000075
2001/11/23,-1.967333417
2001/11/24,-1.892666759
2001/11/25,-1.8180001
2001/11/26,-1.743333442
2001/11/27,-1.668666784
2001/11/28,-1.594000126
2001/11/29,-1.519333468
2001/11/30,-1.44466681
2001/12/1,-1.370000152
2001/12/2,-1.360645167
2001/12/3,-1.35129033
2001/12/4,-1.341935492
2001/12/5,-1.332580655
2001/12/6,-1.323225817
2001/12/7,-1.31387098
2001/12/8,-1.304516142
2001/12/9,-1.295161305
2001/12/10,-1.285806467
2001/12/11,-1.27645163
2001/12/12,-1.267096792
2001/12/13,-1.257741955
2001/12/14,-1.248387117
2001/12/15,-1.23903228
2001/12/16,-1.229677442
2001/12/17,-1.220322605
2001/12/18,-1.210967767
2001/12/19,-1.20161293
2001/12/20,-1.192258092
2001/12/21,-1.182903255
2001/12/22,-1.173548417
2001/12/23,-1.16419358
2001/12/24,-1.154838742
2001/12/25,-1.145483905
2001/12/26,-1.136129067
2001/12/27,-1.12677423
2001/12/28,-1.117419392
2001/12/29,-1.108064555
2001/12/30,-1.098709717
2001/12/31,-1.08935488
2002/1/1,-1.080000042
2002/1/2,-1.105161333
2002/1/3,-1.130322624
2002/1/4,-1.155483914
2002/1/5,-1.180645205
2002/1/6,-1.205806496
2002/1/7,-1.230967786
2002/1/8,-1.256129077
2002/1/9,-1.281290367
2002/1/10,-1.306451658
2002/1/11,-1.331612948
2002/1/12,-1.356774239
2002/1/13,-1.381935529
2002/1/14,-1.40709682
2002/1/15,-1.43225811
2002/1/16,-1.457419401
2002/1/17,-1.482580691
2002/1/18,-1.507741982
2002/1/19,-1.532903272
2002/1/20,-1.558064563
2002/1/21,-1.583225853
2002/1/22,-1.608387144
2002/1/23,-1.633548434
2002/1/24,-1.658709725
2002/1/25,-1.683871015
2002/1/26,-1.709032306
2002/1/27,-1.734193597
2002/1/28,-1.759354887
2002/1/29,-1.784516178
2002/1/30,-1.809677468
2002/1/31,-1.834838759
2002/2/1,-1.860000049
2002/2/2,-1.736785723
2002/2/3,-1.613571432
2002/2/4,-1.490357141
2002/2/5,-1.367142851
2002/2/6,-1.24392856
2002/2/7,-1.120714269
2002/2/8,-0.997499978
2002/2/9,-0.874285687
2002/2/10,-0.751071396
2002/2/11,-0.627857105
2002/2/12,-0.504642814
2002/2/13,-0.381428523
2002/2/14,-0.258214232
2002/2/15,-0.134999941
2002/2/16,-0.01178565
2002/2/17,0.111428641
2002/2/18,0.234642932
2002/2/19,0.357857223
2002/2/20,0.481071514
2002/2/21,0.604285805
2002/2/22,0.727500095
2002/2/23,0.850714386
2002/2/24,0.973928677
2002/2/25,1.097142968
2002/2/26,1.220357259
2002/2/27,1.34357155
2002/2/28,1.466785841
2002/3/1,1.590000132
2002/3/2,1.52290326
2002/3/3,1.455806487
2002/3/4,1.388709714
2002/3/5,1.321612941
2002/3/6,1.254516168
2002/3/7,1.187419395
2002/3/8,1.120322622
2002/3/9,1.053225849
2002/3/10,0.986129076
2002/3/11,0.919032302
2002/3/12,0.851935529
2002/3/13,0.784838756
2002/3/14,0.717741983
2002/3/15,0.65064521
2002/3/16,0.583548437
2002/3/17,0.516451664
2002/3/18,0.449354891
2002/3/19,0.382258118
2002/3/20,0.315161345
2002/3/21,0.248064572
2002/3/22,0.180967798
2002/3/23,0.113871025
2002/3/24,0.046774252
2002/3/25,-0.020322521
2002/3/26,-0.087419294
2002/3/27,-0.154516067
